,JNAME,P0,DECJ,Flux,W50
317,J1824-1945,0.18933848509393242,-19:45:51.6,24.0,4.8
318,J1824-2452A,0.00305431559227118,-24:52:10.834,5.731504872034225,0.972
319,J1825-0935,0.7690209983270947,-09:35:21.2,24.0,5.7
320,J1827-0750,0.2705020393711933,-07:50:19.2,7.226680056043155,10.0
321,J1828-0611,0.26941473206323746,-06:11:51.5,3.7379379600223217,8.4
322,J1829-1751,0.30713297582255544,-17:51:03.8981,21.0,6.9
323,J1830-1059,0.4050433216298211,-10:59:27.926,3.7379379600223217,2.0
324,J1830-1135,6.221552666300743,-11:35:32,3.0,7.5
325,J1831-1223,2.857941001266995,-12:23:31,2.990350368017857,92.1
326,J1832-0827,0.6473377612136061,-08:27:03.8,8.1,5.6
327,J1833-0338,0.6867328372449726,-03:39:04.258,8.5,3.8
328,J1833-0827,0.08528425126174685,-08:27:31.2435,20.0,34.4
329,J1834-0426,0.2901081932010382,-04:26:15.8361,35.0,105.9
330,J1835-1020,0.3024495840703481,-10:20:04.50,4.734721416028274,5.0
331,J1835-1106,0.1659069781495,-11:06:15.1,6.229896600037202,3.9
332,J1836-0436,0.3542365077177134,-04:36:37.6754,4.983917280029762,9.3
333,J1836-1008,0.5627107361360836,-10:08:08.3481,14.0,9.1
334,J1837-0653,1.9058087060664768,-06:53:02.1137,8.721855240052083,50.3
335,J1839-1238,1.9114280225111764,-12:38:40.7,0.9220246968055059,30.0
336,J1840-0809,0.9556721359086381,-08:09:03.3,5.7,7.7
337,J1840-0815,1.0964399722281468,-08:15:10.6,4.734721416028274,21.3
338,J1840-0840,5.309376684684634,-08:40:29,4.286168860825596,188.0
339,J1840-1207,0.7544704271922604,-12:07:32.6,0.5482309008032739,15.0
340,J1841+0912,0.3813192941282139,+09:12:07.3565,5.8,9.1
341,J1841-0425,0.18614885795626024,-04:25:19.50,8.223463512049106,4.3
342,J1842-0359,1.8399443151589459,-03:59:59.8336,21.0,11.1
343,J1843-0000,0.8803304818843488,-00:00:40.9,9.0,11.9
344,J1843-0211,2.0275243887163676,-02:11:02.8,2.3175215352138396,24.0
345,J1843-1507,0.5835503773621201,-15:07:03.0,0.4236329688025298,7.0
346,J1844+00,0.460503,+00:35,21.430844304127977,12.0
347,J1844+1454,0.3754633785228405,14:54:14.12,4.485525552026786,11.4
348,J1844-0433,0.9910266163950838,-04:33:12.4111,2.7411545040163694,13.0
349,J1844-0538,0.25569926808569476,-05:38:34.1828,7.974267648047619,7.2
350,J1845-0743,0.104694545163,-07:43:38.4,9.22024696805506,1.8
